properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  tileset = "oceanheart_outdoors_1",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  pattern = "57",
}

tile{
  layer = 0,
  x = 16,
  y = 56,
  width = 16,
  height = 16,
  pattern = "1144",
}

tile{
  layer = 0,
  x = 32,
  y = 40,
  width = 16,
  height = 16,
  pattern = "1134",
}

tile{
  layer = 0,
  x = 64,
  y = 56,
  width = 16,
  height = 16,
  pattern = "1142",
}

tile{
  layer = 0,
  x = 64,
  y = 40,
  width = 16,
  height = 16,
  pattern = "1135",
}

tile{
  layer = 0,
  x = 32,
  y = 56,
  width = 16,
  height = 16,
  pattern = "1143",
}

tile{
  layer = 0,
  x = 16,
  y = 40,
  width = 16,
  height = 16,
  pattern = "1133",
}

tile{
  layer = 0,
  x = 80,
  y = 56,
  width = 16,
  height = 16,
  pattern = "1141",
}

tile{
  layer = 0,
  x = 80,
  y = 40,
  width = 16,
  height = 16,
  pattern = "1136",
}

tile{
  layer = 0,
  x = 80,
  y = 16,
  width = 16,
  height = 24,
  pattern = "1154",
}

tile{
  layer = 0,
  x = 32,
  y = 16,
  width = 16,
  height = 24,
  pattern = "1152",
}

tile{
  layer = 0,
  x = 64,
  y = 16,
  width = 16,
  height = 24,
  pattern = "1153",
}

tile{
  layer = 0,
  x = 16,
  y = 16,
  width = 16,
  height = 24,
  pattern = "1151",
}

tile{
  layer = 0,
  x = 32,
  y = 0,
  width = 16,
  height = 8,
  pattern = "1161",
}

tile{
  layer = 0,
  x = 64,
  y = 8,
  width = 16,
  height = 8,
  pattern = "1180",
}

tile{
  layer = 0,
  x = 64,
  y = 0,
  width = 16,
  height = 8,
  pattern = "1162",
}

tile{
  layer = 0,
  x = 32,
  y = 8,
  width = 16,
  height = 8,
  pattern = "1181",
}

tile{
  layer = 0,
  x = 16,
  y = 0,
  width = 16,
  height = 16,
  pattern = "1166",
}

tile{
  layer = 0,
  x = 80,
  y = 8,
  width = 16,
  height = 8,
  pattern = "1179",
}

tile{
  layer = 0,
  x = 80,
  y = 0,
  width = 16,
  height = 8,
  pattern = "1163",
}

tile{
  layer = 0,
  x = 48,
  y = 56,
  width = 16,
  height = 16,
  pattern = "1141",
}

tile{
  layer = 0,
  x = 48,
  y = 40,
  width = 16,
  height = 16,
  pattern = "1136",
}

tile{
  layer = 0,
  x = 48,
  y = 16,
  width = 16,
  height = 24,
  pattern = "1154",
}

tile{
  layer = 0,
  x = 48,
  y = 8,
  width = 16,
  height = 8,
  pattern = "1179",
}

tile{
  layer = 0,
  x = 48,
  y = 0,
  width = 16,
  height = 8,
  pattern = "1163",
}

tile{
  layer = 0,
  x = 16,
  y = 56,
  width = 16,
  height = 16,
  pattern = "1167",
}

tile{
  layer = 0,
  x = 0,
  y = 72,
  width = 16,
  height = 16,
  pattern = "1177",
}

tile{
  layer = 0,
  x = 0,
  y = 56,
  width = 16,
  height = 8,
  pattern = "1164",
}

tile{
  layer = 0,
  x = 16,
  y = 72,
  width = 16,
  height = 16,
  pattern = "1168",
}

tile{
  layer = 0,
  x = 0,
  y = 64,
  width = 16,
  height = 8,
  pattern = "1178",
}

tile{
  layer = 0,
  x = 0,
  y = 88,
  width = 16,
  height = 16,
  pattern = "1177",
}

tile{
  layer = 0,
  x = 16,
  y = 88,
  width = 16,
  height = 16,
  pattern = "1168",
}

tile{
  layer = 0,
  x = 0,
  y = 104,
  width = 16,
  height = 16,
  pattern = "1177",
}

tile{
  layer = 0,
  x = 16,
  y = 104,
  width = 16,
  height = 16,
  pattern = "1168",
}

tile{
  layer = 0,
  x = 0,
  y = 120,
  width = 16,
  height = 24,
  pattern = "1155",
}

tile{
  layer = 0,
  x = 16,
  y = 120,
  width = 16,
  height = 24,
  pattern = "1156",
}

tile{
  layer = 0,
  x = 0,
  y = 144,
  width = 16,
  height = 16,
  pattern = "1149",
}

tile{
  layer = 0,
  x = 16,
  y = 144,
  width = 16,
  height = 16,
  pattern = "1150",
}

tile{
  layer = 0,
  x = 152,
  y = 40,
  width = 8,
  height = 32,
  pattern = "911",
}

tile{
  layer = 0,
  x = 128,
  y = 40,
  width = 8,
  height = 32,
  pattern = "907",
}

tile{
  layer = 0,
  x = 96,
  y = 56,
  width = 16,
  height = 16,
  pattern = "1144",
}

tile{
  layer = 0,
  x = 112,
  y = 40,
  width = 16,
  height = 16,
  pattern = "1134",
}

tile{
  layer = 0,
  x = 96,
  y = 40,
  width = 16,
  height = 16,
  pattern = "1133",
}

tile{
  layer = 0,
  x = 112,
  y = 56,
  width = 16,
  height = 16,
  pattern = "1143",
}

tile{
  layer = 0,
  x = 96,
  y = 56,
  width = 16,
  height = 16,
  pattern = "1139",
}

tile{
  layer = 0,
  x = 96,
  y = 40,
  width = 16,
  height = 16,
  pattern = "1138",
}

tile{
  layer = 0,
  x = 176,
  y = 56,
  width = 16,
  height = 16,
  pattern = "1139",
}

tile{
  layer = 0,
  x = 176,
  y = 40,
  width = 16,
  height = 16,
  pattern = "1138",
}

tile{
  layer = 0,
  x = 160,
  y = 56,
  width = 16,
  height = 16,
  pattern = "1142",
}

tile{
  layer = 0,
  x = 160,
  y = 40,
  width = 16,
  height = 16,
  pattern = "1135",
}

tile{
  layer = 0,
  x = 112,
  y = 24,
  width = 16,
  height = 16,
  pattern = "885",
}

tile{
  layer = 0,
  x = 144,
  y = 24,
  width = 16,
  height = 16,
  pattern = "883",
}

tile{
  layer = 0,
  x = 128,
  y = 24,
  width = 16,
  height = 16,
  pattern = "884",
}

tile{
  layer = 0,
  x = 160,
  y = 24,
  width = 16,
  height = 16,
  pattern = "882",
}

tile{
  layer = 0,
  x = 128,
  y = 8,
  width = 16,
  height = 16,
  pattern = "870",
}

tile{
  layer = 0,
  x = 144,
  y = 8,
  width = 16,
  height = 16,
  pattern = "871",
}

tile{
  layer = 0,
  x = 112,
  y = 8,
  width = 16,
  height = 16,
  pattern = "869",
}

tile{
  layer = 0,
  x = 160,
  y = 8,
  width = 16,
  height = 16,
  pattern = "872",
}

tile{
  layer = 0,
